,source,album,artist,date,review,score
24,musicOMH.com,sundowner,kevin-morby,"Oct 16, 2020","
                                never going replace favourite kevin morby album it’s unlikely make new fans feels like kind private delight great artists bestow fans loyalty time time sundowner morby’s harvest moon nebraska hejira – statement intent made quietest way possible
                            ",8.0
25,Mojo,sundowner,kevin-morby,"Oct 13, 2020","
                                even without explicit elegies theres sense morby permanently watching something sink horizon suspending whats left beautiful songwriting amber nov  p
                            ",8.0
26,Pitchfork,sundowner,kevin-morby,"Oct 19, 2020","
                                sundowner sharper sync previous records it’s certainly referential it’s hardly completely retro 
                            ",7.2
27,Exclaim,sundowner,kevin-morby,"Oct 14, 2020","
                                sundowners glow begins fade albums latter half final two tracks instrumental velvet highway provisions pleasant enough taper album muted note minimalist ending showing less isnt always more
                            ",7.0
28,Uncut,sundowner,kevin-morby,"Oct 13, 2020","
                                delicate desertbaked confessionals plenty nov  p
                            ",7.0
29,AllMusic,sundowner,kevin-morby,"Oct 13, 2020","
                                sundowner recalls relaxed reflective moods morbys earlier albums
                            ",7.0
30,Clash Music,sundowner,kevin-morby,"Oct 13, 2020","
                                instrumentation guitar playing particular sometimes feel like serenade encapsulate place time easily lends credit talent songwriter sudden sundowner too
                            ",7.0
31,New Musical Express (NME),sundowner,kevin-morby,"Oct 16, 2020","
                                given somewhat disjointed making record – journey stretches  midlockdown – lacks cohesiveness recent material songs origins however come completely different place morby one instinctive reflective jots snapshots musings eloquently handy piece kit given kickstarted new exploration songwriting resulting project still worth savouring
                            ",6.0
32,The Line of Best Fit,dark-hearts,annie,"Oct 15, 2020","
                                dark hearts hits exceptional stride beginning find quickly tracks don’t necessarily live fullest potential
                            ",7.5
33,Pitchfork,dark-hearts,annie,"Oct 15, 2020","
                                dark hearts best artificial moments aim “realness” seem less so
                            ",7.1
34,The Quietus,dark-hearts,annie,"Oct 16, 2020","
                                dark hearts marks astute shift away energy clubs focusing instead hazy synth pop languid ballads run album production feats led work stefan storm best enjoyed headphones 
                            ",7.0
35,Slant Magazine,dark-hearts,annie,"Oct 15, 2020","
                                annie broke mid aughts cheeky indelible dancepop like “chewing gum” “heartbeat” dark hearts luxuriates unapologetically moodier palette
                            ",7.0
36,musicOMH.com,dark-hearts,annie,"Oct 15, 2020","
                                dark hearts mixed bag many wellcrafted moments stellar production choices aren’t outright bad songs likelihood less obviously pop moments potential grow time
                            ",7.0
37,AllMusic,dark-hearts,annie,"Oct 16, 2020","
                                dark hearts may notentirely successful impossible dismiss failure thanks heart soul annie put lyrics vocals also notmany dancepop artists willing explore darkness settles bubble bursts shes commended that
                            ",6.0
38,DIY Magazine,dark-hearts,annie,"Oct 15, 2020","
                                ‘the streets belong’ appears aim ‘s fm radio nostalgia title track hints cod reggae ‘forever ‘’ borrows smidgen shoegazey guitars ‘the bomb’ touch trip hop lack immediacy paperthin production discernible hooks throughout anyone still humming ‘chewing gum’ ‘heartbeat’ it’s disappointment
                            ",4.0
39,New Musical Express (NME),fake-it-flowers,beabadoobee,"Oct 15, 2020","
                                leap bedroomdweller teenage riot instigator swift fruitful one could considered derivative genuine every sense circumstance might dictate bedroom songwriting back cards bea slow crawl return live shows continues there’s rocksolid foundation years come
                            ",10.0
40,The Line of Best Fit,fake-it-flowers,beabadoobee,"Oct 16, 2020","
                                bea beacon nostalgia kids wished born decade two earlier donning walkman listening cassettes swapping one grunge gem next bea provides muchneeded trip memory lane notmuch it’s pastiche era rather ardent nod ode to
                            ",9.0
41,Consequence of Sound,fake-it-flowers,beabadoobee,"Oct 19, 2020","
                                fake flowers true evolution record that’s stronger fuller beabadoobee’s earlier eps exemplifies ongoing growth artistry 
                            ",8.3
42,Under The Radar,fake-it-flowers,beabadoobee,"Oct 19, 2020","
                                music built main stages mainstream radio fact kristi managed keep warmth wit earlier releases expanding sound may album’s greatest feat 
                            ",8.0
43,musicOMH.com,fake-it-flowers,beabadoobee,"Oct 19, 2020","
                                fake flowers wellaccomplished debut featuring consistent enjoyable style fullyformed persona catchy tunes speak head heart
                            ",8.0
44,Exclaim,fake-it-flowers,beabadoobee,"Oct 16, 2020","
                                loud thoughtful melodies flirty messy fake flowers album made play guts grit young age kristi knows extremely well yet mindful enough give much strong collection songs
                            ",8.0
45,AllMusic,fake-it-flowers,beabadoobee,"Oct 16, 2020","
                                gift distilling complex emotions relatable songs vital beabadoobees music rapidly evolving sound shine fake flowers
                            ",8.0
46,The Independent (UK),fake-it-flowers,beabadoobee,"Oct 15, 2020","
                                though doesn’t deliver promised  twist nineties formula beabadoobee’s debut album terrific new addition “bubblegrunge” genre
                            ",8.0
47,Clash Music,fake-it-flowers,beabadoobee,"Oct 15, 2020","
                                ‘fake flowers’ starting statement runs unmitigated confidence revealing enthralling enchanting debut record one finally finds beabadoobee throwing open gates letting world life it’s joy behold
                            ",8.0
48,DIY Magazine,fake-it-flowers,beabadoobee,"Oct 15, 2020","
                                diaryentry nature bea’s songwriting  twelve tracks dips hair dye empowerment ‘dye red’ selfharm via blistering highlight ‘charlie brown’ notparticularlywellhidden reference boyfriend ‘horen sarrison’  makes fuzzy bubblegum grunge ‘fake flowers’ perfect brooding soundtrack
                            ",8.0
49,Paste Magazine,fake-it-flowers,beabadoobee,"Oct 16, 2020","
                                may notcompelling lyricist among peers melodies place squarely middle pack she’s best sparkly songs reach incredibly catchy heights exude clarity confusing time one’s life fake flowers she’s cusp something great time tell side falls on
                            ",7.2
50,Rolling Stone,fake-it-flowers,beabadoobee,"Oct 19, 2020","
                                best fake flowers right first veruca salt record dog’s totally crushed ability fuse pensive elation sugary guitar charge sweet pop melodies
                            ",7.0
51,No Ripcord,fake-it-flowers,beabadoobee,"Oct 19, 2020","
                                keep flowers edgy brash well put together statement mostly goes easy  
                            ",7.0
52,Pitchfork,fake-it-flowers,beabadoobee,"Oct 20, 2020","
                                often jumps john hughesisan climaxes without laying foundation would grant proper emotional heft kristi shines guitarist composer even sternest skeptics might forced headbang power chords crash particularly distorted chorus beabadoobee needs punch script set perfectly lit
                            ",6.4
53,The Guardian,fake-it-flowers,beabadoobee,"Oct 19, 2020","
                                fake flowers beabadoobee’s debut album proper polishes sound spindlier eps homogenising away gawk crunch singing voice isn’t particularly winsome coo could see nailing one treacly tv advert cover versions  wish beabadoobee could muster little periodperfect surliness
                            ",6.0
54,Spin,wildflowers-all-the-rest,tom-petty,"Oct 15, 2020","
                                wildflowers much showcase petty solo artist point life petty songwriting machine reissue demos prove  still displaying extraordinary ambition importantly still speaking large audience  tom petty miraculous ability write songs almost anyone could identify enjoy wildflowers  rest revealing window process far 
                            ",10.0
55,Entertainment Weekly,wildflowers-all-the-rest,tom-petty,"Oct 15, 2020","
                                suffused warmth memory set belongs among tom petty records nov  p
                            ",10.0
56,The New York Times,wildflowers-all-the-rest,tom-petty,"Oct 15, 2020","
                                one geeky joys “wildflowers rest” observing petty absolute peak songwriting powers making small intelligent tweaks songs progress sometimes it’s single world letters  deep despair rich soil songs makes bearable makes record timelessly listenable everything else that’s mixed humor wisdom little randiness palpable sense hope 
                            ",10.0
57,Variety,wildflowers-all-the-rest,tom-petty,"Oct 16, 2020","
                                fascinating oralhistory annotation  tracks “superdeluxe” edition augmented “wildflowers” best justified boxed set kind since beatles’ white album compendium it’s one ones you’d load arm fire petty fire period presence  distinct compositions big box attests 
                            ",9.5
58,Pitchfork,wildflowers-all-the-rest,tom-petty,"Oct 19, 2020","
                                despite length  songs across  hours longest version feels designed played fronttoback casual fans need standard set pairs wildflowers  outtakes rest there’s element feels superfluous essence album palpable part
                            ",9.3
59,Classic Rock Magazine,wildflowers-all-the-rest,tom-petty,"Oct 15, 2020","
                                theres lot take petty one many peaks worth luxuriating nov  p
                            ",9.0
60,Glide Magazine,wildflowers-all-the-rest,tom-petty,"Oct 15, 2020","
                                existence provides valuable insight creative process end that’s enduring possible additions petty’s legacy
                            ",9.0
61,New Musical Express (NME),wildflowers-all-the-rest,tom-petty,"Oct 19, 2020","
                                start it’s clear isn’t posthumous dig around bucket old offcuts attempt bleed money dedicated fans rather slick gratifying fulfilment one petty’s long standing wishes ‘wildflowers  rest’ feels less like graverobbing like bringing back one alltime greats back life
                            ",8.0
62,Rolling Stone,wildflowers-all-the-rest,tom-petty,"Oct 19, 2020","
                                years since petty released  classic album slowly revealed onstage interviews darkly personal inspirations record retrospective box sprawling bursting creative process went making wildflowers it’s definitive artistic statement newly illuminates one fruitful inspired periods american legend’s career 
                            ",8.0
63,Clash Music,wildflowers-all-the-rest,tom-petty,"Oct 15, 2020","
                                impressive collection touching tribute petty’s enduring legacy demonstrates candour artistry emotive storytelling real must tom petty fan paints even colourful picture always masterpiece well unveiling exciting treasure trove musical gems inevitably become longlasting petty classics
                            ",8.0
64,Uncut,sign,autechre,"Oct 16, 2020","
                                album beautiful tracks dec  p
                            ",9.0
65,Clash Music,sign,autechre,"Oct 16, 2020","
                                ‘sign’ album doesn’t get skin head give enough time feel better autechre returned wait definitely worth it
                            ",9.0
66,Pitchfork,sign,autechre,"Oct 16, 2020","
                                sign autechre managed something machines can’t nearly well humans surprise us
                            ",8.1
67,The Quietus,sign,autechre,"Oct 16, 2020","
                                sign welcome detour diversion difficult complicated times salve sorts it’s close chillout music duo ever likely get making perfect autechre album 
                            ",8.0
68,musicOMH.com,sign,autechre,"Oct 16, 2020","
                                simply put one electronic music quite like autechre
                            ",8.0
69,Beats Per Minute,sign,autechre,"Oct 19, 2020","
                                may miss utter blistering angular noisescapes past autechre albums assured album less autechre despite arguably accessible album decade still left set  tracks unpredictable labyrinthine ever duo trying work slightly different avenue 
                            ",7.9
70,AllMusic,sign,autechre,"Oct 16, 2020","
                                albums tracks somewhat formless notdistinctive enough make lasting impression overall sign one approachable autechre releases quite time easier starting reentry point listeners arent committed enough plunge headier works
                            ",7.0
71,The Guardian,sign,autechre,"Oct 16, 2020","
                                times sign truly soars though never manages eclipse what’s crowded sonic milieu
                            ",6.0
72,The Line of Best Fit,someone-new,helena-deland,"Oct 16, 2020","
                                someone new presence lingers long it’s finished album demands full attention sucking air room leaving drift grey matter deland’s mind last notes fade black ghost someone new continues haunt — it’s utterly unforgettable record
                            ",9.5
73,Exclaim,someone-new,helena-deland,"Oct 16, 2020","
                                also feelings weariness romantic ambivalence quickly knot ones jealousy longing course resolution sight albums end inbetweenspaces deland thrives gestational document thrilling witness
                            ",9.0
74,Clash Music,someone-new,helena-deland,"Oct 19, 2020","
                                fans may disappointed subdued nature ‘someone new’ yet ability combine woozy guitars killer synths endlessly catchy melodies hasn’t disappeared softened matured title track brilliant ‘pale’ ‘dog’ prove
                            ",8.0
75,Beats Per Minute,someone-new,helena-deland,"Oct 16, 2020","
                                though lacking musical revelations moments album highlight sharp instincts songwriter catharsis someone new that’s palpable deland harnesses going forward things get brighter here
                            ",7.2
76,AllMusic,someone-new,helena-deland,"Oct 16, 2020","
                                throughout someone new top hypnotic mix strange familiar delands vulnerable voice helps make selfconscious searching commentaries engrossing
                            ",7.0
77,PopMatters,waiting-out-the-storm,jeremy-ivey,"Oct 16, 2020","
                                theres showing extended solos except iveys lengthy vocal lines
                            ",8.0
78,Glide Magazine,waiting-out-the-storm,jeremy-ivey,"Oct 16, 2020","
                                rock solid half crazy horsehalf heartbreakers sounding band extraterrestrials ivey notexpands sound last year’s dream dreamer brings passionate sense urgency too
                            ",8.0
79,AllMusic,waiting-out-the-storm,jeremy-ivey,"Oct 16, 2020","
                                regardless thematic angle ivey approaches music intelligence heart serving concise views inner outer worlds likeable sophomore set
                            ",8.0
80,American Songwriter,waiting-out-the-storm,jeremy-ivey,"Oct 16, 2020","
                                despite decidedly downcast demeanor — imagine john cale nick cave lou reed crashing one another’s therapy sessions turning one colossal vent — several songs find spark manages illuminate even darkest designs 
                            ",7.0
81,The Telegraph (UK),album-no-8,katie-melua,"Oct 16, 2020","
                                laidback album drawing dreamy seventies milieu laurel canyon touch easy listening sumptuousness burt bacharach ways lovers drift apart evoking fall autumnal leaves rather blood tracks
                            ",8.0
82,AllMusic,album-no-8,katie-melua,"Oct 16, 2020","
                                album  intensely personal album feels like melua made first foremost
                            ",8.0
83,musicOMH.com,album-no-8,katie-melua,"Oct 16, 2020","
                                compendious set cinematic soothing poignant songs showcasing deeper maturity notmelua’s voice also songwriting
                            ",8.0
84,American Songwriter,album-no-8,katie-melua,"Oct 16, 2020","
                                nothing approaches rock even rock oriented rather melua keeps expressive mellifluous voice focused mood atmosphere letting songs orchestrations heavy lifting
                            ",7.0
85,Clash Music,morning-pageants,delmer-darion,"Oct 16, 2020","
                                beautifully crafted nuanced record bursting brim ideas notafraid test listener expansive sound pallet
                            ",8.0
86,New Musical Express (NME),morning-pageants,delmer-darion,"Oct 16, 2020","
                                ‘morning pageants’ thoughtprovoking totally unique body work one likely continue inspire confound much subject 
                            ",8.0
87,The Line of Best Fit,morning-pageants,delmer-darion,"Oct 16, 2020","
                                debut delmer darion present album enjoyed studiously exploring depth archival references importantly simply created  minutes music sounds like new world beautiful strange
                            ",7.5
88,Uncut,morning-pageants,delmer-darion,"Oct 16, 2020","
                                duo seem unfocused adventurous variety beguiling dec  p
                            ",7.0
89,musicOMH.com,as-long-as-you-are,future-islands,"Oct  9, 2020","
                                they’re constantly trying better provide listeners new ways looking old feelings long endlessly rewarding listen it’s certainly worth wait
                            ",9.0
90,The Line of Best Fit,as-long-as-you-are,future-islands,"Oct  6, 2020","
                                burnished hallmarks moulded band robust songwriting entity long portrait herring co top game  collection taught electropop numbers graced poetic flair
                            ",9.0
91,Paste Magazine,as-long-as-you-are,future-islands,"Oct 13, 2020","
                                it’s listening experience that’s satisfying rewarding aforementioned records band assured stylistically unique future islands choice stay lane mean good things
                            ",8.0
92,The Observer (UK),as-long-as-you-are,future-islands,"Oct 12, 2020","
                                even tempo – urgency – songs occasionally drops rescued mediocrity herring’s affecting lyrics several songs contemplate wreckages toxic relationships unflinching honesty
                            ",8.0
93,PopMatters,as-long-as-you-are,future-islands,"Oct  9, 2020","
                                album pays tribute past emotionally resonant sonically thrilling
                            ",8.0
94,New Musical Express (NME),as-long-as-you-are,future-islands,"Oct  8, 2020","
                                ‘as long are’ maybe unexpected handbrake turn future islands may nothitladen predecessor it’s refreshing record right one throws plenty existential quandaries
                            ",8.0
95,Uncut,as-long-as-you-are,future-islands,"Oct  6, 2020","
                                herrings poetic analysis recent breakup makes compelling listen nov  p
                            ",8.0
96,Beats Per Minute,as-long-as-you-are,future-islands,"Oct 13, 2020","
                                bracingly personal listen long impactful followup singles it’s sound band taking control 
                            ",7.8
97,Consequence of Sound,as-long-as-you-are,future-islands,"Oct 12, 2020","
                                latest record delivers everything we’ve come expect baltimorebased band — plucky synths dramadripping vocals wellrounded backdrop sound sounds like something outerspace orchestra rather something mixed zoom
                            ",7.5
98,AllMusic,as-long-as-you-are,future-islands,"Oct  9, 2020","
                                album thats uneasy mix band thats fully control sound making good choices expand also occasionally toppling overreach worth checking songs work  group certainly havent lost touch comes uptempo gloomy synth pop  less successful moments arent enough sink album entirely
                            ",7.0
99,Exclaim,as-long-as-you-are,future-islands,"Oct  6, 2020","
                                future islands landscapes sound intricately detailed poetic angst matured something subdued dripping acceptance long feels way like band coming home itself
                            ",7.0
100,Pitchfork,as-long-as-you-are,future-islands,"Oct 14, 2020","
                                record feels like standing water herring entrenched past it’s hard tell really much record however moments light shines vibrancy stained glass 
                            ",6.1
101,Clash Music,as-long-as-you-are,future-islands,"Oct  9, 2020","
                                herring’s blessed baritone vocals teamed trademark bittersweet synth hefty baselines continue make decent honest albums long fourpiece please introduction faster lighter tempo tracks like ‘the painter’ ‘hit coast’ could mark beginning muchneeded dive uncharted musical waters
                            ",6.0
102,The Independent (UK),as-long-as-you-are,future-islands,"Oct  8, 2020","
                                i’m honest it’s hard tell future islands album last one tell one seagull another that’s notsay don’t soar swoop way that’s guaranteed lift heart 
                            ",6.0
103,DIY Magazine,as-long-as-you-are,future-islands,"Oct  8, 2020","
                                ‘as long are’ steadyasshegoes sort affair  solid effort fourpiece would fare better little exploration
                            ",6.0
104,Mojo,as-long-as-you-are,future-islands,"Oct  6, 2020","
                                despite huge leaps forward sonically fantastic scenes set song nov  p
                            ",6.0
105,AllMusic,atlas-vending,metz,"Oct 19, 2020","
                                produced recorded skill thats effective unwillingness intrude band atlas vending dazzling display form content shows listeners math rock effectively weaponized
                            ",8.0
106,Classic Rock Magazine,atlas-vending,metz,"Oct 14, 2020","
                                well worth rediscovering nov  p
                            ",8.0
107,The Quietus,atlas-vending,metz,"Oct  9, 2020","
                                things considered brilliant record metz perhaps closest they’ve yet come capturing incredible live performance record
                            ",8.0
108,Glide Magazine,atlas-vending,metz,"Oct  8, 2020","
                                atlas vending transitional album best ways metz proved create piercing noise anyone around deploy wider scope without losing foundation
                            ",8.0
109,DIY Magazine,atlas-vending,metz,"Oct  8, 2020","
                                record feels raw refined shake core
                            ",8.0
110,Under The Radar,atlas-vending,metz,"Oct  6, 2020","
                                expansiveness sonic palette atlas vending gives band room paint outside lines aug  oct  p
                            ",8.0
111,Uncut,atlas-vending,metz,"Oct  6, 2020","
                                toronto band maintain formidable degree power velocity throughout fourth album yet songs like mirror framed comets tail wellserved willingness ease gas pedal nov  p
                            ",8.0
112,Exclaim,atlas-vending,metz,"Oct  6, 2020","
                                metz animal thats evolved benefit appetite thats refined teeth still razor sharp
                            ",8.0
113,Kerrang!,atlas-vending,metz,"Oct  6, 2020","
                                previous three albums proven invigorating examples punishing aesthetic atlas vending finds pushing things forward broadening horizons tremendous effect
                            ",8.0
114,Beats Per Minute,atlas-vending,metz,"Oct 14, 2020","
                                there’s point atlas vending feels wasted meandering timesucks it’s pure adrenaline rock expertly produced delivered piping hot
                            ",7.7
115,The Line of Best Fit,atlas-vending,metz,"Oct  9, 2020","
                                underpinned sharper melodies shock horror notions hope sit comfortably among best songs metz written far they’re nod band intend developing sound may well soon end record truly feels like serious change occurred
                            ",7.0
116,Pitchfork,atlas-vending,metz,"Oct 13, 2020","
                                there’s denying metz’s ability summon whiteknuckled visceral disgust tension release indistinguishable slaps doesn’t leave much mark
                            ",6.4
117,musicOMH.com,silver-ladders,mary-lattimore,"Oct  7, 2020","
                                much delight listening music comes lyrical tacit affiliation rage wit pathos artist wishes project record goes way appropriate perception wordless hushed beauty world inhabit 
                            ",10.0
118,AllMusic,silver-ladders,mary-lattimore,"Oct  7, 2020","
                                silver ladders doesnt require close listening locate emotional currents gorgeous immersion loneliness solitude perseverance immediately sets mood could soundtrack entirety colder seasons
                            ",9.0
119,Dusted Magazine,silver-ladders,mary-lattimore,"Oct 13, 2020","
                                it’s wonderfully rich sound palette one plays strengths musicians
                            ",8.0
120,Beats Per Minute,silver-ladders,mary-lattimore,"Oct 12, 2020","
                                isn’t horribly different previous solo record hundreds days feel overall like grasp tools firmer ideas feel bit refined distilled like she’s reached purer version vision 
                            ",8.0
121,The Quietus,silver-ladders,mary-lattimore,"Oct  9, 2020","
                                silver ladders mary lattimore brings harp back earth still covered clouds also threaded veins gloom marble silvery glow
                            ",8.0
122,Mojo,silver-ladders,mary-lattimore,"Oct  7, 2020","
                                lower case delight nov  p
                            ",8.0
123,Uncut,silver-ladders,mary-lattimore,"Oct  7, 2020","
                                mesmerising slowdive sonic depths nov  p
                            ",8.0
124,Exclaim,silver-ladders,mary-lattimore,"Oct  7, 2020","
                                lowend synth tones throughout album provide melancholy aura times given additional weight halsteads dreamy wistful notes together paints exquisite picture dramatic worlds evoke vast seas emotion like sum life moments memories feelings encapsulated songs every element purpose 
                            ",8.0
125,Pitchfork,silver-ladders,mary-lattimore,"Oct 13, 2020","
                                silver ladders energetic yet also deeply calming
                            ",7.7
126,Mojo,10-songs,travis,"Oct  7, 2020","
                                travis remain curiously unrevered  songs fine work nonetheless nov  p
                            ",8.0
127,Uncut,10-songs,travis,"Oct  7, 2020","
                                healys songs always suffused nostalgia far removed innocent days poignant pull overwhelming nov  p
                            ",8.0
128,AllMusic,10-songs,travis,"Oct  7, 2020","
                                robust scattered everything focused  songs welcome return early style one strongest statements catalog
                            ",8.0
129,Under The Radar,10-songs,travis,"Oct  9, 2020","
                                 songs delivers exactly you’d expect travis quarter century proven britpop prowess
                            ",7.0
130,New Musical Express (NME),10-songs,travis,"Oct  8, 2020","
                                standing mostly still travis found contemporary eddies swirling around them
                            ",6.0
131,American Songwriter,10-songs,travis,"Oct  7, 2020","
                                travis commended keeping faith coming another batch quality songs notbest stuff isn’t far like album’s unimaginative title there’s little pushes band’s established boundaries new fresh sonic areas 
                            ",6.0
132,DIY Magazine,lament,touche-amore,"Oct  8, 2020","
                                ‘lament’ packs truly heavy punch there’s crispness production highlights every drum beat crashing riff providing backdrop jeremy’s introspective lyrics
                            ",9.0
133,The Line of Best Fit,lament,touche-amore,"Oct  8, 2020","
                                lament testament power held new day moments discovered within delivered crushing passion band worth standing behind
                            ",8.5
134,Pitchfork,lament,touche-amore,"Oct 12, 2020","
                                band spooked status role models touché amoré still can’t help lead example
                            ",8.2
135,No Ripcord,lament,touche-amore,"Oct  9, 2020","
                                guys still writing playing top game making another album that’s brutal stage four notlittle palatable everyday listening
                            ",8.0
136,New Musical Express (NME),lament,touche-amore,"Oct  9, 2020","
                                isn’t merely record good band record important one teetering edge greatness
                            ",8.0
137,Exclaim,lament,touche-amore,"Oct  8, 2020","
                                stage four momentous release found ways musically express heartwrenching story lament feels like touché amorés essential form
                            ",8.0
138,Kerrang!,lament,touche-amore,"Oct  8, 2020","
                                band’s engaging expansive musical outing date 
                            ",8.0
139,Beats Per Minute,lament,touche-amore,"Oct  9, 2020","
                                lament notharsh noise monster might expected team fact it’s turned band’s accessible album yet
                            ",7.6
140,PopMatters,lament,touche-amore,"Oct  8, 2020","
                                moments aside get lament large come expected touché amoré guitar playing moves booming riffs crisp melodic lines earnest firstperson narratives bolm bagful quotable lyrics 
                            ",7.0
141,AllMusic,edna,headie-one,"Oct 19, 2020","
                                resulting project headies complete compelling set date pulling stops expansive statement self edna tottenham great provides impeccable portfolio varied sonics concretizing place among londons finest
                            ",9.0
142,Clash Music,edna,headie-one,"Oct  8, 2020","
                                twentytrack project dedicated late mother features headie’s strongest reflective writing date distance offers clarity navigates away past life vivid pictures paints it
                            ",9.0
143,The Line of Best Fit,edna,headie-one,"Oct  8, 2020","
                                album delivers fronts ratatat drill swinging hiphop beats edna explores much uncovers sides voice throughout littered guest posts represent facet headie’s journey perfectly
                            ",9.0
144,The Telegraph (UK),edna,headie-one,"Oct  8, 2020","
                                drill music aimed dedicated acolytes rather general listeners strip away lyrics strange mix electro loops nervous beats sad melodies scifi sounds utterly compelling contemporary evidence cutting edge local music scene continues thrive even venue doors barred shut
                            ",8.0
145,New Musical Express (NME),edna,headie-one,"Oct  8, 2020","
                                ‘edna’ proof he’s unmistakeable global ‘king drill’ much besides
                            ",8.0
146,The Observer (UK),edna,headie-one,"Oct 12, 2020","
                                workable entente past future struck edna headie one gets flex collaborate try new things irving adjei feels safe enough show vulnerability 
                            ",6.0
147,Glide Magazine,sad-hunk,bahamas,"Oct  9, 2020","
                                wealth songs engaging enjoyable
                            ",8.0
148,AllMusic,sad-hunk,bahamas,"Oct  9, 2020","
                                sad hunk jurvanen crafted album reaching age dont care cool anymore yet somehow manages find ever nuanced inspired levels cool musical insight process
                            ",8.0
